"Reset TFA","TFA zurücksetzen"
"The customer tfa configration has been reset.","Die Kunden-TFA-Konfiguration wurde zurückgesetzt"
"Something went wrong while resetting customer tfa configuration.","Beim Zurücksetzen der Kunden-TFA-Konfiguration ist ein Fehler aufgetreten"
"Invalid login or password.","Login oder Passwort ungültig."
"Two Factor Authentication","Zwei-Faktor-Authentisierung"
"You saved the TFA providers.","Sie haben die TFA Anbieter gespeichert."
"We can't save the TFA providers.","Die TFA Anbieter konnten nicht gespeichert werden."
"The configuration has been reset.","Die Konfiguration wurde zurückgesetzt."
"We can't reset the configuration.","Die Konfiguration konnte nicht zurückgesetzt werden."
"Invalid code format","Ungültiges Code-Format"
"Missing customer information","Fehlende Kunden-Information"
"Unsupported method","Methode nicht unterstüzt"
"Missing country information","Fehlende Länder-Information"
"Login request","Login request"
"Invalid approval code","Ungültiger Zulassungscode"
"Invalid authy webservice response","Ungültige authy webservice Anwort"
"message","Nachricht"
"Unknown provider %1","Unbekannter Anbieter %1"
"Login using two factor authentication, please.","Bitte melden Sie sich mit Zwei-Faktor-Authentisierung an."
"The two factor authentication failed. Please try again.","Die Zwei-Faktor-Authentisierung war nicht erfolgreich. Bitte versuchen Sie es erneut."
"Login successful.","Login erfolgreich"
"test","test"
"Reset","Zurücksetzen"
"None","Keine"
"Save","Speichern"
"There are no two factor authentication providers configured.","Es sind keine TFA Anbieter konfiguriert."
"Scan or copy&amp;paste this code with your authenticator app and insert your code to confirm.","Scannen oder kopieren Sie diesen Code mit Ihrer Authenticator App und geben Sie den Code zur Bestätigung ein."
"Scan or copy&amp;paste this code with your authenticator app and insert your code to confirm when you login.","Scannen oder kopieren Sie diesen Code mit Ihrer Authenticator App und geben Sie den Code zur Bestätigung beim Login ein."
"Login using ","Einloggen mit "
"Continue","Weiter"
"Confirm","Bestätigen"
"Could not register at Authy. Please try again later","Registrierung bei Authy war nicht erfolgreich. Bitte versuchen Sie es später erneut."
"Could not authenticate using Authy. Please try again later","Authentifiziert mit Authy war nicht erfolgreich. Bitte versuchen Sie es später erneut."
"Could not get list of providers. Please try again later","Die Liste der Anbieter konnte nicht geladen werden. Bitte versuchen Sie es später erneut."
"Customers","Kunden"
"All Customers","Alle Kunden"
"Actions","Aktionen"
"Reset Customer TFA","Kunden TFA zurücksetzen"
"Force Two Factor Auth for Customers","TFA für Kunden erzwingen"
"Enable This Provider For Customers","Anbieter für Kunden aktivieren"
"TFA","TFA"
"Your code","Ihr Code"
"Authenticator code","Authenticator Code"
